file,reason
000401-2009-冀东水泥.txt,年份不在2015-2023范围内
000401-2010-冀东水泥.txt,年份不在2015-2023范围内
000401-2011-冀东水泥.txt,年份不在2015-2023范围内
000401-2012-冀东水泥.txt,年份不在2015-2023范围内
000401-2013-冀东水泥.txt,年份不在2015-2023范围内
000401-2014-冀东水泥.txt,年份不在2015-2023范围内
000402-2008-金融街.txt,年份不在2015-2023范围内
000402-2009-金融街.txt,年份不在2015-2023范围内
000402-2010-金融街.txt,年份不在2015-2023范围内
000402-2011-金融街.txt,年份不在2015-2023范围内
000402-2012-金融街.txt,年份不在2015-2023范围内
000402-2013-金融街.txt,年份不在2015-2023范围内
000402-2014-金融街.txt,年份不在2015-2023范围内
000407-2006-胜利股份.txt,年份不在2015-2023范围内
000407-2010-胜利股份.txt,年份不在2015-2023范围内
000407-2011-胜利股份.txt,年份不在2015-2023范围内
000407-2012-胜利股份.txt,年份不在2015-2023范围内
000407-2013-胜利股份.txt,年份不在2015-2023范围内
000407-2014-胜利股份.txt,年份不在2015-2023范围内
000422-2008-湖北宜化.txt,年份不在2015-2023范围内
000422-2009-湖北宜化.txt,年份不在2015-2023范围内
000422-2010-湖北宜化.txt,年份不在2015-2023范围内
000422-2011-湖北宜化.txt,年份不在2015-2023范围内
000422-2012-湖北宜化.txt,年份不在2015-2023范围内
000422-2013-湖北宜化.txt,年份不在2015-2023范围内
000423-2008-东阿阿胶.txt,年份不在2015-2023范围内
000423-2009-东阿阿胶.txt,年份不在2015-2023范围内
000423-2010-东阿阿胶.txt,年份不在2015-2023范围内
000423-2011-东阿阿胶.txt,年份不在2015-2023范围内
000423-2012-东阿阿胶.txt,年份不在2015-2023范围内
000423-2013-东阿阿胶.txt,年份不在2015-2023范围内
000423-2014-东阿阿胶.txt,年份不在2015-2023范围内
000425-2008-徐工机械.txt,年份不在2015-2023范围内
000425-2009-徐工机械.txt,年份不在2015-2023范围内
000425-2010-徐工机械.txt,年份不在2015-2023范围内
000425-2011-徐工机械.txt,年份不在2015-2023范围内
000425-2012-徐工机械.txt,年份不在2015-2023范围内
000425-2013-徐工机械.txt,年份不在2015-2023范围内
000425-2014-徐工机械.txt,年份不在2015-2023范围内
000429-2006-粤高速Ａ.txt,年份不在2015-2023范围内
000429-2007-粤高速Ａ.txt,年份不在2015-2023范围内
000488-2008-晨鸣纸业.txt,年份不在2015-2023范围内
000488-2009-晨鸣纸业.txt,年份不在2015-2023范围内
000488-2010-晨鸣纸业.txt,年份不在2015-2023范围内
000498-2012-山东路桥.txt,年份不在2015-2023范围内
000498-2013-山东路桥.txt,年份不在2015-2023范围内
000498-2014-山东路桥.txt,年份不在2015-2023范围内
000503-2008-国新健康.txt,年份不在2015-2023范围内
000503-2009-国新健康.txt,年份不在2015-2023范围内
000503-2010-国新健康.txt,年份不在2015-2023范围内
000503-2011-国新健康.txt,年份不在2015-2023范围内
000503-2014-国新健康.txt,年份不在2015-2023范围内
000504-2006-南华生物.txt,年份不在2015-2023范围内
000511-2008-银基发展.txt,年份不在2015-2023范围内
000511-2009-银基发展.txt,年份不在2015-2023范围内
000511-2010-银基发展.txt,年份不在2015-2023范围内
000516-2006-国际医学.txt,年份不在2015-2023范围内
000516-2007-国际医学.txt,年份不在2015-2023范围内
000516-2008-国际医学.txt,年份不在2015-2023范围内
000516-2009-国际医学.txt,年份不在2015-2023范围内
000516-2010-国际医学.txt,年份不在2015-2023范围内
